Depth (mm),d18o (per mil)
348,-12.031844422125273
349,-11.501344715171196
350,-11.102883839655773
351,-10.872464378305045
352,-11.08820863389535
353,-11.575993852996342
354,-12.081901620790287
355,-12.700252936463762
356,-12.987876717383676
357,-13.168865863892014
358,-12.993753547750629
359,-12.762723094355241
360,-12.148065348575875
361,-11.56672610869977
362,-11.384850611061255
363,-11.219828827790106
364,-11.344960197044447
365,-11.840122047188592
366,-12.297590751818955
367,-12.838740759921832
368,-13.216257793929541
369,-13.457300978385545
370,-13.263574386358554
371,-12.870200170875458
372,-12.294885639220512
373,-11.864072917391479
374,-11.398656350464396
375,-11.576734756288804
376,-11.56674253254349
377,-12.02166579942615
378,-12.341019706678237
379,-13.160829828535508
380,-13.549997588002523
381,-13.679939264544403
382,-13.718414976215426
383,-13.212575502168098
384,-12.755913266155376
385,-12.18496062135237
386,-11.819798998637845
387,-11.552382916078411
388,-11.798932212396943
389,-12.337690365566234
390,-12.889841467134818
391,-13.270808082849348
392,-13.838048724486496
393,-13.676854123414564
394,-13.628081391712326
395,-13.446917565210487
396,-13.09131345290909
397,-12.30461276258347
398,-12.105428580740822
399,-11.856218368802654
400,-12.293417362095003
401,-12.579937502295351
402,-13.03947563002817
403,-13.555301940623506
404,-13.99103195093236
405,-14.03771500676525
406,-14.0927874467227
407,-13.654237948502116
408,-13.147970436828833
409,-12.62855611659413
410,-12.26281310840668
411,-12.332464209183788
412,-12.527386013289117
413,-12.632232317810153
414,-13.246768598802007
415,-13.874848653655642
416,-14.030910206232187
417,-14.328432536570714
418,-14.108095685378052
419,-13.873248151858993
420,-13.19392520751179
421,-12.744465915755702
422,-12.598871011063473
423,-12.362842904904566
424,-12.549437001257045
425,-12.863136844246753
426,-13.616492346058012
427,-13.971394854000174
428,-14.32018295509947
429,-14.75587394864231
430,-14.584351255051024
431,-14.32392321777601
432,-13.666940683444466
433,-13.088245774420397
434,-12.663738891005973
435,-12.692590521958024
436,-12.69111304165842
437,-13.378010145821483
438,-13.930338243935525
439,-14.285554769889659
440,-14.627618858890516
441,-14.82326947480941
442,-14.91276961378843
443,-14.368912003951294
444,-14.010446950050488
445,-13.333032745117007
446,-13.017314771605873
447,-13.033987978632736
448,-13.145361287949221
449,-13.585921352188894
450,-14.006267909727304
451,-14.424485767949879
452,-15.004598008417991
453,-15.009595348448215
454,-14.999051165621697
455,-14.679287283226245
456,-14.130703035995479
457,-13.743524232241944
458,-13.349339526750288
459,-13.299787789258884
460,-13.137502082923932
461,-13.716473644802809
462,-14.309972550799253
463,-14.738602008926563
464,-15.157258208753522
465,-15.322096959953322
466,-15.124608733780093
467,-14.764249228995297
468,-14.413050114761068
469,-13.937581824064493
470,-13.56147976593073
471,-13.650192116473558
472,-13.725493702435413
473,-13.823312573255558
474,-14.315503228649845
475,-15.024903603955629
476,-15.328369707478851
477,-15.508874984545647
478,-15.118137322938923
479,-14.968042508856541
480,-14.612791759148115
481,-14.215554044060061
482,-13.93461922824132
483,-13.639653636413279
484,-13.889609670743992
485,-14.34222537095976
486,-14.78465728842426
487,-15.348154800361414
488,-15.457311240277175
489,-15.691836024305054
490,-15.666822667916104
491,-15.172005586110991
492,-14.83226316923527
493,-14.446128420132839
494,-13.861662188488596
495,-13.846108995631534
496,-14.157699211648197
497,-14.459033867808358
498,-15.047561825338434
499,-15.618279973096413
500,-15.77340764903127
501,-15.829058335952986
502,-16.04588216116634
503,-15.503703076330956
504,-15.14506425691218
505,-14.648712538376499
506,-14.31321398863946
507,-14.226399076967983
508,-14.289122433421086
509,-14.763095011641083
510,-15.17295431742201
511,-15.725023810944874
512,-16.129920208471066
513,-16.35075636620416
514,-16.20370253684127
515,-15.724460877417405
516,-15.26990828123758
517,-14.937755524479854
518,-14.48404136567266
519,-14.304861287662822
520,-14.700915124327697
521,-14.865663980762015
522,-15.506262375894556
523,-15.902940133140675
524,-16.422351319438693
525,-16.680488210066454
526,-16.548779647572765
527,-16.03519150533386
528,-15.534027749827835
529,-15.17043166251046
530,-14.670115350337827
531,-14.786152006226898
532,-14.780582576080281
533,-15.281101619976237
534,-15.745183610780222
535,-16.19526013286838
536,-16.67206674031283
537,-16.778455554422983
538,-16.52539612286301
539,-16.337689186952336
540,-15.71643078879349
541,-15.432970685465751
542,-14.920994178424047
543,-14.71584313793421
544,-15.261139046228296
545,-15.479689525547021
546,-15.862292787281932
547,-16.4603045386043
548,-16.788910816447316
549,-17.040398518671584
550,-16.85736642503715
551,-16.53556772353924
552,-15.923221793834044
553,-15.534557915669888
554,-15.180214330008035
555,-15.141187696612247
556,-15.302735218622805
557,-15.683255818781966
558,-16.120554785762135
559,-16.722098448082008
560,-17.0370479180948
561,-17.012459920135456
562,-17.018912933441285
563,-16.79260235321679
564,-16.159878607783654
565,-15.840807537302183
566,-15.657787049733354
567,-15.44080863109174
568,-15.681053788318156
569,-15.915151348404118
570,-16.398158162081042
571,-16.752356268772438
572,-17.27333266640801
573,-17.481910052880888
574,-17.263084845666086
575,-17.221113530900812
576,-16.496438544189154
577,-15.962913480611299
578,-15.841833220793564
579,-15.465624595679305
580,-15.700124955466121
581,-16.161528791390094
582,-16.57672181338935
583,-16.932930714219555
584,-17.527838778278568
585,-17.67517794136997
586,-17.63196149373847
587,-17.324984436946472
588,-16.676966418345547
589,-16.365608382590903
590,-15.926817972493621
591,-15.867765744676513
592,-15.92607661364091
593,-16.326633789471302
594,-16.776246005574226
595,-17.451001639885448
596,-17.813012897313772
597,-18.03787637157823
598,-17.870454729792066
599,-17.44226995069553
600,-16.924301138335462
601,-16.612216532417744
602,-16.087014004205006
603,-15.924436214119508
604,-16.17263110589317
605,-16.412320418744173
606,-17.197378919910353
607,-17.76446547033115
608,-18.20389742867485
609,-18.03039556885108
610,-18.000588838149035
611,-17.725558467091076
612,-17.21200313736804
613,-16.87254890472984
614,-16.169399398253873
615,-16.287077881802478
616,-16.44303511675507
617,-16.767423337610087
618,-17.311899076826297
619,-17.857611597572077
620,-18.34507284932897
621,-18.3728531642864
622,-18.117822954136944
623,-17.825457995384504
624,-17.320681337336104
625,-17.05112156764314
626,-16.752935078241425
627,-16.552578692009963
628,-16.688402104986682
629,-16.970580848152892
630,-17.769246462971488
631,-17.967044968053912
632,-18.52182619364233
633,-18.702688106994742
634,-18.647235841310447
635,-18.3654856671866
636,-17.637682941603813
637,-17.2326682032812
638,-17.02297068618968
639,-16.909507877206362
640,-16.967553066144575
641,-17.15309784747108
642,-17.865959135136343
643,-18.51031429531181
644,-18.770599710193018
645,-18.927272356974765
646,-19.0557140680786
647,-18.44542948665177
648,-17.983093453020896
649,-17.41037936351867
650,-16.94907898672105
651,-16.907343497045225
652,-17.200863465271034
653,-17.67065259087417
654,-17.82266401967503
655,-18.594078156598535
656,-18.984632474593116
657,-19.142412508711
658,-19.006216927707666
659,-18.6944360411924
660,-18.257366200688075
661,-17.774685894124016
662,-17.377249923237173
663,-17.314342477113374
664,-17.485259174483286
665,-17.789356977230792
666,-18.34549772174208
667,-18.689600701141696
668,-19.491122384623758
669,-19.270849314807755
670,-19.1414168845347
671,-19.127339023240847
672,-18.474268759408048
673,-17.997144086599576
674,-17.75472576568736
675,-17.577781668759087
676,-17.76503218076214
677,-17.8647729556576
678,-18.46643216068523
679,-18.952844490500574
680,-19.393858197380123
681,-19.732905177121722
682,-19.558477430412452
683,-19.111062543877203
684,-18.80221278088923
685,-18.128700156982777
686,-17.878007136031375
687,-17.77748208075496
688,-17.822878599395196
689,-18.235573668851345
690,-18.83609661658192
691,-19.20406701966355
692,-19.814131736544425
693,-19.798406439305573
694,-19.68671527798759
695,-19.43095464393141
696,-18.887386697775845
697,-18.565111357638514
698,-18.001571894294884
699,-17.9984902136443
700,-18.18624689826744
701,-18.415099077416336
702,-19.110434369054264
703,-19.700846129636314
704,-20.101688321136812
705,-20.039399004865437
706,-20.114068339034066
707,-19.464520581801597
708,-19.368192940788337
709,-18.510354363171
710,-18.312872849495324
711,-18.229671311187037
712,-18.428466504896452
713,-18.7200863885648
714,-19.283763470242455
715,-19.689669811798385
716,-20.174602638918238
717,-20.324969823853813
718,-20.262386625005835
719,-19.885694562372112
720,-19.36921982311078
721,-19.091016839265684
722,-18.708793138426163
723,-18.38567359059773
724,-18.59688805240275
725,-19.018398333635258
726,-19.518156606693463
727,-20.00524182946385
728,-20.48000137181537
729,-20.65783047254023
730,-20.446440878274664
731,-20.217837277761525
732,-19.59917472442856
733,-19.330258360423827
734,-18.711059032482982
735,-18.652740251758697
736,-18.828371622784147
737,-19.141730901605467
738,-19.59345255555372
739,-20.17856299349819
740,-20.850112826917584
741,-20.94795769667357
742,-20.76850726155401
743,-20.357390894978955
744,-19.828234097953118
745,-19.472574381315354
746,-19.035297919767853
747,-19.01553829323533
748,-19.155126376514776
749,-19.620666109684823
750,-20.09232332461105
751,-20.65516846056161
752,-21.003612729082167
753,-20.954635820339217
754,-21.040965292667643
755,-20.336761793516324
756,-20.070668209911904
757,-19.621516387630543
758,-19.379810374233692
759,-19.1099690120591
760,-19.39153837883935
761,-19.707799018535447
762,-19.983991546173062
763,-20.769605989972472
764,-21.031098071155856
765,-21.37031764251259
766,-21.189524252834158
767,-20.662919936436428
768,-20.42269670577879
769,-19.698755144200355
770,-19.463199402670003
771,-19.47624667758943
772,-19.510733822310005
773,-19.86274455503729
774,-20.417819003778312
775,-21.157022471989038
776,-21.4587391213669
777,-21.56475186355515
778,-21.43346874669445
779,-21.017932790244927
780,-20.58222989990671
781,-20.25353443587098
782,-19.73595481111497
783,-19.59894142547162
784,-19.757995551422443
785,-20.091921927444535
786,-20.636607784545117
787,-21.19408199207713
788,-21.633041974930265
789,-21.9460960933516
790,-21.623063581871197
791,-21.299231231283706
792,-20.812842116280468
793,-20.487674857582014
794,-20.122080250256403
795,-19.794684714666708
796,-20.057930111601234
797,-20.37184993026271
798,-20.95716816238694
799,-21.47702438605038
800,-21.77219702318685
801,-22.071604472821736
802,-21.896413326090368
803,-21.606227528870487
804,-21.12344962274326
805,-20.630917212346873
806,-20.231761219052213
807,-20.18787486216635
808,-20.168398983658204
809,-20.769460730221905
810,-21.2186871644161
811,-21.763973105827404
812,-21.961327615349067
813,-22.240344522348845
814,-22.042840949837558
815,-21.948556037303703
816,-21.293294973413122
817,-20.75103692043768
818,-20.485746197288023
819,-20.273451962493464
820,-20.58570344122558
821,-20.77906525598138
822,-21.210110187638076
823,-21.996283856043934
824,-22.390575655924504
825,-22.35466155228823
826,-22.228068189211363
827,-22.09228600271535
828,-21.60201868170965
829,-21.108178460886045
830,-20.868419647319005
831,-20.71186519464842
832,-20.87438867289077
833,-21.23677975651043
834,-21.683468488738658
835,-22.176578526746294
836,-22.430975354503037
837,-22.83983540407388
838,-22.52759316393679
839,-22.301398884422596
840,-21.80494637096522
841,-21.25251805078335
842,-21.086246798371818
843,-20.821759025381596
844,-20.997329375394244
845,-21.35075487359918
846,-21.891083135609176
847,-22.19446998600894
848,-22.889799402209565
849,-23.033099695500184
850,-22.928339456426933
851,-22.575547711916034
852,-22.103738712730646
853,-21.441098346889277
854,-21.07192417141656
855,-21.15707462937495
856,-21.337210153525966
857,-21.59285844436134
858,-22.21522230442809
859,-22.616706818224454
860,-23.04573310169929
861,-23.371574411499722
862,-22.951274883651433
863,-22.580412232690477
864,-22.34127886904846
865,-21.8387701559936
866,-21.42538805714306
867,-21.306554321001297
868,-21.428120168948247
869,-21.678979546123376
870,-22.417694722749378
871,-22.999829724453836
872,-23.443957326585867
873,-23.533093003994193
874,-23.34933810107183
875,-22.820544213648272
876,-22.5717611299036
877,-22.01762120483613
878,-21.695616885822837
879,-21.461160672655193
880,-21.481281353628216
881,-22.17308687729202
882,-22.688943944251772
883,-23.055583912293063
884,-23.4778362548218
885,-23.515329267426395
886,-23.52763258525186
887,-23.275929209078676
888,-22.700934516930776
889,-22.16912964194175
890,-21.851926378095836
891,-21.76927259688927
892,-21.86730712725665
893,-22.243070440955403
894,-22.741784100896176
895,-23.33512901124104
896,-23.80273721181611
897,-23.92532863135667
898,-23.705374507133605
899,-23.561693567098715
900,-22.963132669112735
901,-22.559333881232792
902,-22.171100113922073
903,-21.93215481373927
904,-22.194864689413567
905,-22.59535634518434
906,-23.255985614098016
907,-23.56537464339726
908,-23.961476985670302
909,-23.963674527669454
910,-24.09680322727975
911,-23.698084967233612
912,-23.215061631628974
913,-22.60225467202363
914,-22.423504149454264
915,-22.272097847422966
916,-22.393184945243892
917,-22.82133908768435
918,-23.40464336145505
919,-23.860591000710134
920,-24.15866222879848
921,-24.522651529941108
922,-24.292728436369774
923,-24.030012081493943
924,-23.360495337107526
925,-23.152318690478374
926,-22.709866780942736
927,-22.502278812493547
928,-22.537422193292127
929,-23.086575026107266
930,-23.6555199526693
931,-23.931884293055937
932,-24.65082679382607
933,-24.87988059566201
934,-24.50202395877914
935,-24.250205422435254
936,-23.822123281713104
937,-23.16916435527008
938,-22.869594524838472
939,-22.836407863073674
940,-23.062005036082642
941,-23.232754267171934
942,-23.774979882204146
943,-24.369917586377912
944,-24.561361704179667
945,-25.007008476632617
946,-24.938577920876902
947,-24.50919080698814
948,-23.964558601635606
949,-23.455666055067763
950,-23.158098202001206
951,-22.98479446034857
952,-23.299128538634584
953,-23.4156235395927
954,-24.08821511783925
955,-24.488270416841146
956,-24.951752869146652
957,-25.09432467808462
958,-24.96904867576122
959,-24.6352291439983
960,-24.13572772401332
961,-23.587084746986758
962,-23.35432247924544
963,-23.189099624241152
964,-23.422948165644282
965,-23.65598827845506
966,-24.387639230205895
967,-24.659905956708858
968,-25.230041198848873
969,-25.523077510211802
970,-25.25321496229337
971,-24.98810516574749
972,-24.355935645101116
973,-24.025262397930263
974,-23.658592939537073
975,-23.688954073094553
976,-23.699205228140457
977,-24.282387932662886
978,-24.71839028234852
979,-25.003958534385543
980,-25.38744538791935
981,-25.577454243821503
982,-25.602723018097354
983,-25.16477113561417
984,-24.68036025390912
985,-24.315836468919294
986,-23.70363476603886
987,-23.652263770942437
988,-23.91607101359853
989,-24.27731141610047
990,-24.779161719205284
991,-25.52417348684238
992,-25.73074314203648
993,-25.928198424799778
994,-25.846187404773932
995,-25.428110029288586
996,-24.740231347315135
997,-24.375915713873262
998,-24.15109249519387
999,-23.922741721864384
1000,-23.994039052556953
1001,-24.427536631708723
1002,-25.034036963008
1003,-25.624693677770487
1004,-25.87620307242311
1005,-26.060651461457827
1006,-25.89650608178168
1007,-25.57648281983181
1008,-25.055044728468058
1009,-24.733523521156034
1010,-24.202235189652164
1011,-24.200240039530758
1012,-24.166448508953017
1013,-24.82891878180894
1014,-25.106403619683473
1015,-25.780208921653745
1016,-26.2511672041459
1017,-26.388388583405433
1018,-26.258060134603895
1019,-25.837583405359837
1020,-25.347716451196465
1021,-24.977370000393854
1022,-24.57641005544171
1023,-24.245772964138816
1024,-24.44122027920546
1025,-24.95636763303256
1026,-25.516199652183154
1027,-26.027996867328167
1028,-26.364673606511403
1029,-26.68227925651984
1030,-26.491763057526754
1031,-26.286858407387808
1032,-25.600077687739507
1033,-25.09528040602974
1034,-24.8622932424455
1035,-24.542601323670997
1036,-24.976551162515754
1037,-25.386437488021027
1038,-25.73755481814396
1039,-26.175290169738762
1040,-26.49763263463865
1041,-26.865888426286894
1042,-26.5981573204413
1043,-26.363850846950132
1044,-25.89726272999414
1045,-25.31163400625137
1046,-24.98874230837423
1047,-25.097639215698425
1048,-24.946320561242977
1049,-25.34199086458528
1050,-26.062556270150885
1051,-26.480419646656216
1052,-26.85662238515615
1053,-27.03393262341761
1054,-27.00105591916898
1055,-26.66716233679389
1056,-26.12255540709911
1057,-25.522727098074117
1058,-25.23961458075614
1059,-25.21706143320861
1060,-25.25680472515072
1061,-26.004854262063013
1062,-26.125123429962702
1063,-26.933971377877846
1064,-27.182269497924725
1065,-27.411966989462616
1066,-27.31549355135654
1067,-26.723917321262153
1068,-26.406770120131174
1069,-25.845349611826997
1070,-25.53866665410346
1071,-25.37229591727769
1072,-25.566292407109522
1073,-26.088299222418847
1074,-26.38037331805529
1075,-27.049375658316148
1076,-27.541683593650376
1077,-27.58281151609659
1078,-27.275949424721027
1079,-26.994977825788673
1080,-26.634865213440793
1081,-26.154925770431838
1082,-25.806138101337286
1083,-25.452325201643916
1084,-25.77578105099238
1085,-26.15699583528086
1086,-26.616971654596796
1087,-27.21612108409735
1088,-27.65192961836652
1089,-27.7996349849085
1090,-27.673185529725878
1091,-27.323722223651025
1092,-26.76723704563633
1093,-26.35480541141928
1094,-25.940710588494
1095,-25.90807165801086
1096,-26.046111077183973
1097,-26.63982006845316
1098,-26.868367232529714
1099,-27.44535115241018
1100,-27.76622439279847
1101,-28.309625537819368
1102,-27.697187933306406
1103,-27.573958962815478
1104,-26.9691817183263
1105,-26.703990592712582
1106,-26.192697205709315
1107,-26.245341556317367
1108,-26.35635149228515
1109,-26.488596864613253
1110,-27.219068240076385
1111,-27.69825671268199
1112,-28.01901863071555
1113,-28.210431811202742
1114,-28.130983513270078
1115,-27.763503899753356
1116,-27.079658441476244
1117,-26.845761879703403
1118,-26.473864691544083
1119,-26.274934560399238
1120,-26.423422002919764
1121,-26.801296969443975
1122,-27.376126977797114
1123,-28.074300491272993
1124,-28.182682250554304
1125,-28.614634539301868
1126,-28.35576185726054
1127,-28.11542758500193
1128,-27.56641383465939
1129,-27.047123758969622
1130,-26.701838874670564
1131,-26.577807924576472
1132,-26.612603469309683
1133,-27.114646569848595
1134,-27.704415663529073
1135,-28.103591283171088
1136,-28.467078354891992
1137,-28.8627607815137
1138,-28.566285396799472
1139,-28.209882725768928
1140,-27.829756350336
1141,-27.182429318668824
1142,-26.988980154918853
1143,-26.847442354652845
1144,-27.031281778643923
1145,-27.39844209524183
1146,-28.029627508689508
1147,-28.584005088259435
1148,-28.666574897461953
1149,-29.064696134831834
1150,-28.965164638730098
1151,-28.735339011360406
1152,-28.103896174768973
1153,-27.692308979340755
1154,-27.04977308020192
1155,-26.999018291065738
1156,-27.3227896307333
1157,-27.414756419465522
1158,-28.061823451300807
1159,-28.712483138350848
1160,-29.315965975271794
1161,-28.990905742740924
1162,-29.24498265046078
1163,-28.924539874695743
1164,-28.177742956799083
1165,-27.5560247593661
1166,-27.315547314364515
1167,-27.283609087994765
1168,-27.434499162048986
1169,-27.794658444122003
1170,-28.32410714102127
1171,-28.89188085760303
1172,-29.29560529338924
1173,-29.466259312789955
1174,-29.421421862671103
1175,-29.02806750768675
1176,-28.68929568141949
1177,-28.049833962679518
1178,-27.79283370693067
1179,-27.69035893172158
1180,-27.715985181100216
1181,-27.980799771365557
1182,-28.54816833939969
1183,-29.317050060362263
1184,-29.64498821744145
1185,-29.605922881201177
1186,-29.684274143138275
1187,-29.262463314999696
1188,-28.704994790097523
1189,-28.376834445486423
1190,-27.92343704560099
1191,-27.95340254949182
1192,-28.034111360610673
1193,-28.328021806585742
1194,-29.039299373353067
1195,-29.35595252620399
1196,-29.787989183677077
1197,-29.884751004558286
1198,-29.80363399037799
1199,-29.343585957002627
1200,-28.987477549735207
