Depth (mm),d18o (per mil)
329,-4.94972415650834
330,-4.875036146329647
331,-4.943721956764531
332,-4.747037382310151
333,-4.781456698828228
334,-4.721371294396071
335,-5.075827256721968
336,-5.323241896485164
337,-5.25471100007079
338,-5.194454392470968
339,-5.339277891582261
340,-5.184117587991301
341,-4.959012357224838
342,-4.804316422456617
343,-4.8982839822691595
344,-4.7488473324434395
345,-4.666666420960686
346,-5.138572325074902
347,-5.127600591412557
348,-5.1279370729715295
349,-5.210919565760869
350,-5.225192677816974
351,-4.93613553358866
352,-5.18262580959184
353,-5.197836276737754
354,-5.013265096972729
355,-5.037562392181295
356,-4.868084978811197
357,-4.873645805277523
358,-4.942037258595384
359,-5.047372935273751
